icd11_code,clinical_title,plain_en,plain_sw,synonyms,abbreviations,body_system,is_notifiable,sensitivity,review_status
9A60.Z,Conjunctivitis,The surface of your eye was inflamed,Uso wa jicho lako ulivimba,conjunctivitis|red eye|pink eye|eye infection,,eye,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
9B10.Z,Cataract,The lens of your eye has become cloudy,Lenzi ya jicho lako imekuwa na ukungu,cataract|mtoto wa jicho,,eye,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
AA0Z,Otitis media,You had an infection in your middle ear,Ulikuwa na maambukizi kwenye sikio la kati,ear infection|otitis media,OM|AOM|CSOM,ear,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
3A00.Z,Iron deficiency anaemia,You had too few healthy red blood cells due to low iron,Ulikuwa na chembechembe nyekundu chache kwa sababu ya chuma kidogo,anaemia|anemia|low blood|iron deficiency,IDA,blood,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
5B50.Z,Undernutrition,Your body was not getting enough nutrients,Mwili wako haukupata virutubisho vya kutosha,malnutrition|undernutrition|underweight,SAM|MAM,nutrition,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
DA60.Z,Peptic ulcer,You had a sore in the lining of your stomach or gut,Ulikuwa na kidonda kwenye ukuta wa tumbo,peptic ulcer|stomach ulcer|PUD|gastritis,PUD,digestive,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
DA42.Z,Gastritis,The lining of your stomach was inflamed,Ukuta wa tumbo lako ulivimba,gastritis|stomach inflammation,,digestive,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
JA20,Pregnancy,You are pregnant,Una mimba,pregnancy|antenatal|ANC|mimba,ANC,pregnancy,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
JA65.Z,Pre-eclampsia,High blood pressure that developed during pregnancy,Shinikizo la damu lililojitokeza wakati wa ujauzito,pre-eclampsia|PET|pregnancy induced hypertension,PET|PIH,pregnancy,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
KA20.Z,Neonatal jaundice,Your baby's skin and eyes looked yellow,Ngozi na macho ya mtoto yalionekana ya njano,neonatal jaundice|newborn jaundice,NNJ,neonatal,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
MG30.Z,"Fever, unspecified",You had a fever with no cause identified yet,Ulikuwa na homa bila sababu iliyotambuliwa,fever|pyrexia|homa|PUO,PUO,general,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
MD11,Headache,You had a headache,Ulikuwa na maumivu ya kichwa,headache|maumivu ya kichwa,,nervous,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
8A80.Z,Epilepsy,A condition that causes repeated seizures,Hali inayosababisha kifafa mara kwa mara,epilepsy|seizures|fits|kifafa,,nervous,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1C62.Z,HIV disease,You are living with HIV,Unaishi na virusi vya HIV,HIV|human immunodeficiency virus,HIV,infectious,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
6A70.Z,Depressive episode,You have been experiencing low mood affecting daily life,Umekuwa ukihisi huzuni inayoathiri maisha ya kila siku,depression|low mood,MDD,mental_health,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
6A80.Z,Anxiety disorder,You have been experiencing excessive worry,Umekuwa ukiwa na wasiwasi mkubwa,anxiety|anxiety disorder,GAD,mental_health,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
6C40.Z,Alcohol use disorder,Alcohol use has been affecting your health,Matumizi ya pombe yameathiri afya yako,alcohol use disorder|alcoholism,AUD,mental_health,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
NA0Z,"Injury, unspecified",You had an injury,Ulipata jeraha,injury|trauma|wound|jeraha,,injury,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
NE61,Road traffic injury,You were injured in a road accident,Ulijeruhiwa katika ajali ya barabarani,road traffic accident|RTA|motor vehicle accident,RTA|MVA,injury,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1F57.Z,Intestinal worms,You had worms in your gut,Ulikuwa na minyoo tumboni,worms|helminths|intestinal worms|minyoo,,digestive,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1F40.0,Malaria in pregnancy,You had malaria while pregnant,Ulikuwa na malaria ukiwa mjamzito,malaria in pregnancy|MIP|malaria ya mimba,MIP,infectious,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1F45.0,Cerebral malaria,Malaria affected your brain and you needed urgent care,Malaria iliathiri ubongo na ulihitaji matibabu ya haraka,cerebral malaria|malaria kali ya ubongo,,infectious,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1B11,Tuberculosis of nervous system,You had tuberculosis affecting your brain or spinal cord,Ulikuwa na kifua kikuu kilichoathiri ubongo au uti wa mgongo,TB meningitis|tuberculous meningitis|kifua kikuu cha ubongo,TBM,infectious,true,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1B12,Tuberculosis of other organs,You had tuberculosis outside your lungs,Ulikuwa na kifua kikuu nje ya mapafu,extrapulmonary TB|EPTB|TB lymph node|TB spine,EPTB,infectious,true,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1B13,Miliary tuberculosis,Tuberculosis had spread widely through your body,Kifua kikuu kilikuwa kimeenea mwili mzima,miliary TB|disseminated TB,,infectious,true,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1B10.0,Multidrug-resistant tuberculosis,You had tuberculosis that does not respond to the usual medicines,Ulikuwa na kifua kikuu ambacho hakitibiki kwa dawa za kawaida,MDR TB|drug resistant TB|multidrug resistant tuberculosis,MDR-TB,infectious,true,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1B10.1,Tuberculosis with pleural effusion,Tuberculosis caused fluid to collect around your lung,Kifua kikuu kilisababisha maji kujikusanya kando ya pafu,TB pleural effusion|pleural TB,,infectious,true,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1B14,Latent tuberculosis infection,You carry tuberculosis germs but are not sick from them,Una vijidudu vya kifua kikuu lakini hujaugua,latent TB|LTBI|TB infection,LTBI,infectious,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1C62.0,HIV disease clinical stage 1,You are living with HIV and have no symptoms at present,Unaishi na virusi vya HIV na kwa sasa huna dalili,HIV stage 1|asymptomatic HIV,,infectious,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
1C62.1,HIV disease clinical stage 2,You are living with HIV and have had mild related illness,Unaishi na virusi vya HIV na umepata magonjwa madogo yanayohusiana,HIV stage 2,,infectious,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
1C62.2,HIV disease clinical stage 3,You are living with HIV and have had serious related illness,Unaishi na virusi vya HIV na umepata magonjwa makubwa yanayohusiana,HIV stage 3|advanced HIV,,infectious,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
1C62.3,HIV disease clinical stage 4,You are living with HIV at an advanced stage,Unaishi na virusi vya HIV katika hatua ya juu,HIV stage 4|AIDS|ukimwi,AIDS,infectious,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
1C62.4,HIV disease with tuberculosis,You are living with HIV and also had tuberculosis,Unaishi na virusi vya HIV na pia ulikuwa na kifua kikuu,HIV TB coinfection|TB HIV,,infectious,true,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
1F27.1,Oral candidiasis,A fungal infection caused white patches in your mouth,Maambukizi ya fangasi yalisababisha madoa meupe mdomoni,oral thrush|candidiasis|fangasi mdomoni,,infectious,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1F62.0,Pneumocystis pneumonia,A special type of lung infection linked to low immunity,Maambukizi maalum ya mapafu yanayohusiana na kinga dhaifu,PCP|pneumocystis pneumonia|PJP,PCP|PJP,infectious,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
1D80,Herpes zoster,You had shingles a painful blistering rash,Ulikuwa na mkanda wa jeshi upele wenye maumivu na malengelenge,shingles|herpes zoster|mkanda wa jeshi,,infectious,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1E50.1,Chronic hepatitis B,You have a long-term liver infection caused by hepatitis B,Una maambukizi ya muda mrefu ya ini yanayosababishwa na hepatitis B,hepatitis B|HBV|chronic hep B,HBV,digestive,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1C1G,Meningococcal meningitis,You had meningitis caused by the meningococcus germ,Ulikuwa na homa ya uti wa mgongo inayosababishwa na bakteria ya meningokokasi,meningococcal meningitis|meningococcus,,infectious,true,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1C12,Brucellosis,You had brucellosis an infection from unboiled milk or animals,Ulikuwa na brucella maambukizi kutoka maziwa yasiyochemshwa au wanyama,brucellosis|brucella|undulant fever,,infectious,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1C13,Anthrax,You had anthrax an infection caught from animals,Ulikuwa na kimeta maambukizi yanayotoka kwa wanyama,anthrax|kimeta,,infectious,true,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1C14,Tetanus,You had tetanus a serious infection causing muscle stiffness,Ulikuwa na pepopunda maambukizi makali yanayosababisha misuli kukakamaa,tetanus|pepopunda|lockjaw,,infectious,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
KA61,Neonatal tetanus,Your newborn had tetanus a serious infection,Mtoto mchanga alikuwa na pepopunda maambukizi makali,neonatal tetanus|pepopunda ya mtoto mchanga,NNT,neonatal,true,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1C82,Rabies,You were treated for possible rabies after an animal bite,Ulitibiwa kwa uwezekano wa kichaa cha mbwa baada ya kuumwa na mnyama,rabies|kichaa cha mbwa|dog bite exposure,,infectious,true,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1D47,Yellow fever,You had yellow fever a virus spread by mosquitoes,Ulikuwa na homa ya manjano virusi vinavyoenezwa na mbu,yellow fever|homa ya manjano,,infectious,true,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1D2Z,Dengue fever,You had dengue a fever spread by mosquitoes,Ulikuwa na dengue homa inayoenezwa na mbu,dengue|dengue fever|breakbone fever,,infectious,true,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1D40.0,Chikungunya,You had chikungunya a virus spread by mosquitoes causing joint pain,Ulikuwa na chikungunya virusi vinavyoenezwa na mbu na kusababisha maumivu ya viungo,chikungunya,,infectious,true,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1D61,Viral haemorrhagic fever,You had a serious viral illness causing fever and bleeding,Ulikuwa na ugonjwa mkali wa virusi unaosababisha homa na kuvuja damu,viral haemorrhagic fever|VHF|ebola|marburg,VHF,infectious,true,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1D6Z,COVID-19,You had COVID-19,Ulikuwa na COVID-19,covid|covid 19|coronavirus|SARS-CoV-2,COVID,respiratory,true,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1E32,Poliomyelitis,You had polio which can cause sudden weakness of a limb,Ulikuwa na polio inayoweza kusababisha kiungo kudhoofika ghafla,polio|poliomyelitis|acute flaccid paralysis|AFP,AFP,infectious,true,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1F86,Schistosomiasis,You had bilharzia a worm infection from fresh water,Ulikuwa na kichocho maambukizi ya minyoo kutoka maji baridi,bilharzia|schistosomiasis|kichocho,,infectious,true,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1F51,Visceral leishmaniasis,You had kala-azar an infection spread by sandflies,Ulikuwa na kala-azar maambukizi yanayoenezwa na nzi wa mchanga,kala azar|visceral leishmaniasis|kalaazar,VL,infectious,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1A03,Shigellosis,You had dysentery caused by shigella bacteria,Ulikuwa na kuhara damu kunakosababishwa na bakteria ya shigella,shigella|bacillary dysentery|bloody diarrhoea,,digestive,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1F57.0,Ascariasis,You had roundworms in your gut,Ulikuwa na minyoo mirefu tumboni,roundworm|ascaris|ascariasis,,digestive,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1F57.1,Hookworm disease,You had hookworms which can cause low blood,Ulikuwa na minyoo ya hookworm inayoweza kusababisha upungufu wa damu,hookworm|ankylostomiasis,,digestive,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1G40,Sepsis,An infection spread into your bloodstream and made you very unwell,Maambukizi yalienea kwenye damu na kukufanya uwe mgonjwa sana,sepsis|septicaemia|blood infection|septic shock,,infectious,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1F28.0,Tinea capitis,You had a fungal infection of the scalp,Ulikuwa na maambukizi ya fangasi kwenye kichwa,tinea capitis|scalp ringworm,,skin,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1B72,Impetigo,You had a crusty skin infection that spreads easily,Ulikuwa na maambukizi ya ngozi yenye maganda yanayosambaa kwa urahisi,impetigo|school sores,,skin,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1B73,Cellulitis,The deeper layers of your skin were infected and swollen,Tabaka za ndani za ngozi zilipata maambukizi na kuvimba,cellulitis|skin infection|erysipelas,,skin,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1B74,Cutaneous abscess,You had a pocket of pus under the skin,Ulikuwa na jipu lenye usaha chini ya ngozi,abscess|boil|jipu,,skin,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
FB84,Osteomyelitis,You had an infection in a bone,Ulikuwa na maambukizi kwenye mfupa,osteomyelitis|bone infection,,musculoskeletal,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
FA10,Septic arthritis,You had an infection inside a joint,Ulikuwa na maambukizi ndani ya kiungo,septic arthritis|joint infection,,musculoskeletal,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
CA41,Bronchiolitis,Your baby had a viral infection of the small airways,Mtoto alikuwa na maambukizi ya virusi kwenye mirija midogo ya hewa,bronchiolitis|RSV,RSV,respiratory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
CA05,Sinusitis,The air spaces in your face were inflamed and blocked,Vibafu vya hewa usoni vilivimba na kuziba,sinusitis|sinus infection,,respiratory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
CA02,Pharyngitis,Your throat was inflamed and sore,Koo lako lilivimba na kuuma,pharyngitis|sore throat|koo kuuma,,respiratory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1E30,Influenza,You had flu caused by the influenza virus,Ulikuwa na mafua yanayosababishwa na virusi vya influenza,influenza|flu|mafua makali,,respiratory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1C1B,Pertussis,Your child had whooping cough,Mtoto alikuwa na kifaduro,whooping cough|pertussis|kifaduro,,respiratory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
1C0Z,Diphtheria,You had diphtheria a throat infection that can block breathing,Ulikuwa na dondakoo maambukizi ya koo yanayoweza kuziba upumuaji,diphtheria|dondakoo,,respiratory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
CB27,Pleural effusion,Fluid collected around your lung,Maji yalijikusanya kando ya pafu,pleural effusion|water in the lung,,respiratory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
CB21,Pneumothorax,Air leaked around your lung and made it collapse,Hewa ilivuja kando ya pafu na kulifanya lisinyae,pneumothorax|collapsed lung,,respiratory,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
QA40,Antenatal care visit,You came for a routine pregnancy check-up,Ulikuja kwa uchunguzi wa kawaida wa ujauzito,antenatal visit|ANC visit|clinic ya mimba,ANC,pregnancy,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
QA46,Postnatal care visit,You came for a check-up after giving birth,Ulikuja kwa uchunguzi baada ya kujifungua,postnatal visit|PNC|baada ya kujifungua,PNC,pregnancy,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
JA66,Eclampsia,High blood pressure in pregnancy caused fits,Shinikizo la damu la ujauzito lilisababisha kifafa,eclampsia|fits in pregnancy,,pregnancy,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
JA65.0,Severe pre-eclampsia,You had dangerously high blood pressure during pregnancy,Ulikuwa na shinikizo la damu hatari wakati wa ujauzito,severe pre-eclampsia|severe PET,,pregnancy,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
JA63,Gestational hypertension,Your blood pressure rose during pregnancy,Shinikizo la damu lilipanda wakati wa ujauzito,pregnancy induced hypertension|gestational hypertension,PIH,pregnancy,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
JA64,Gestational diabetes mellitus,Your blood sugar rose during pregnancy,Sukari kwenye damu ilipanda wakati wa ujauzito,gestational diabetes|kisukari cha mimba,GDM,pregnancy,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
JB03,Anaemia in pregnancy,You had low blood levels while pregnant,Ulikuwa na damu kidogo ukiwa mjamzito,anaemia in pregnancy|upungufu wa damu ujauzito,,pregnancy,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
JB0Z,Obstructed labour,Your baby could not pass through the birth canal normally,Mtoto hakuweza kupita njia ya kuzaliwa kwa kawaida,obstructed labour|prolonged labour|CPD,CPD,pregnancy,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
JB40,Postpartum haemorrhage,You bled heavily after giving birth,Ulivuja damu nyingi baada ya kujifungua,postpartum haemorrhage|PPH|bleeding after delivery,PPH,pregnancy,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
JA86,Placenta praevia,The afterbirth was lying low and covering the birth canal,Kondo la nyuma lilikuwa chini likifunika njia ya kuzaliwa,placenta praevia|low lying placenta,,pregnancy,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
JA85,Placental abruption,The afterbirth separated from the womb too early,Kondo la nyuma lilijitenga na mji wa mimba mapema mno,placental abruption|abruptio placentae,,pregnancy,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
JB44,Puerperal sepsis,You had an infection after giving birth,Ulikuwa na maambukizi baada ya kujifungua,puerperal sepsis|postpartum infection|maambukizi baada ya kujifungua,,pregnancy,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
JA00,Miscarriage,Your pregnancy ended before the baby could survive,Mimba yako iliharibika kabla mtoto hajaweza kuishi,miscarriage|abortion|mimba kuharibika|spontaneous abortion,SAB,pregnancy,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
JA01,Incomplete abortion,Part of the pregnancy remained in the womb and needed removal,Sehemu ya mimba ilibaki tumboni na ilihitaji kutolewa,incomplete abortion|retained products|evacuation,MVA,pregnancy,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
JA02,Ectopic pregnancy,The pregnancy grew outside the womb which is dangerous,Mimba ilikua nje ya mji wa mimba jambo ambalo ni hatari,ectopic pregnancy|mimba nje ya kizazi|tubal pregnancy,,pregnancy,false,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
JA84,Preterm labour,Labour started before the pregnancy reached full term,Uchungu ulianza kabla ya mimba kutimia,preterm labour|premature labour|uchungu wa mapema,PTL,pregnancy,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
JB0A,Caesarean delivery,Your baby was born through an operation,Mtoto alizaliwa kwa njia ya upasuaji,caesarean section|c section|upasuaji wa kuzaa,CS|LSCS,pregnancy,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
JB2Z,Normal vaginal delivery,You gave birth normally,Ulijifungua kwa njia ya kawaida,normal delivery|SVD|vaginal delivery,SVD|NVD,pregnancy,false,TIER_2_GENERAL,NEEDS_CLINICAL_REVIEW
JA82,Intrauterine fetal death,Your baby died in the womb before birth,Mtoto alifariki tumboni kabla ya kuzaliwa,intrauterine fetal death|IUFD|stillbirth,IUFD,pregnancy,true,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
KB2Z,Stillbirth,Your baby was born without signs of life,Mtoto alizaliwa bila dalili za uhai,stillbirth|mtoto kufa akizaliwa,,neonatal,true,TIER_3_RESTRICTED,NEEDS_CLINICAL_REVIEW
