rule_id,symptoms,age_min,age_max,red_flag,urgency,required_capabilities,min_keph_level,advice_en,advice_sw,reviewed_by,review_status
R101,fever|headache|joint_pain,5,120,false,URGENT_24H,MALARIA_RDT|LAB_BASIC|PHARMACY,2,A malaria test is needed. A dispensary or health centre can do this,Kipimo cha malaria kinahitajika. Zahanati au kituo cha afya kinaweza kufanya,UNASSIGNED,NEEDS_CLINICAL_REVIEW
R102,cough|fever,5,120,false,SOON_7D,OPD_GENERAL|LAB_BASIC,2,A clinician should examine your chest. Start at a health centre,Daktari anapaswa kukagua kifua chako. Anza kituo cha afya,UNASSIGNED,NEEDS_CLINICAL_REVIEW
R103,cough_over_2_weeks,5,120,false,URGENT_24H,TB_DIAGNOSIS|LAB_BASIC,3,A cough lasting more than two weeks needs a tuberculosis test,Kikohozi cha zaidi ya wiki mbili kinahitaji kipimo cha kifua kikuu,UNASSIGNED,NEEDS_CLINICAL_REVIEW
R104,diarrhoea|vomiting,0,5,false,URGENT_24H,PAEDIATRIC|OPD_GENERAL,2,A young child with diarrhoea can become dehydrated quickly. Be seen today,Mtoto mdogo mwenye kuhara anaweza kupungukiwa maji haraka. Onana na daktari leo,UNASSIGNED,NEEDS_CLINICAL_REVIEW
R105,diarrhoea|vomiting,5,120,false,SOON_7D,OPD_GENERAL|PHARMACY,2,Drink plenty of fluids. See a clinician if it does not settle,Kunywa maji mengi. Onana na daktari kama haitulii,UNASSIGNED,NEEDS_CLINICAL_REVIEW
R106,painful_urination,12,120,false,SOON_7D,LAB_BASIC|OPD_GENERAL,2,A urine test is needed. A dispensary can do this,Kipimo cha mkojo kinahitajika. Zahanati inaweza kufanya,UNASSIGNED,NEEDS_CLINICAL_REVIEW
R107,skin_rash|itching,0,120,false,ROUTINE,OPD_GENERAL|PHARMACY,2,A clinician can examine the rash at a dispensary,Daktari anaweza kukagua upele zahanati,UNASSIGNED,NEEDS_CLINICAL_REVIEW
R108,eye_redness|eye_discharge,0,120,false,SOON_7D,EYE_CARE|OPD_GENERAL,2,An eye examination is needed,Uchunguzi wa macho unahitajika,UNASSIGNED,NEEDS_CLINICAL_REVIEW
R109,ear_pain|ear_discharge,0,120,false,SOON_7D,ENT|OPD_GENERAL,2,An ear examination is needed,Uchunguzi wa sikio unahitajika,UNASSIGNED,NEEDS_CLINICAL_REVIEW
R110,toothache,0,120,false,SOON_7D,DENTAL,3,A dental clinic can treat this,Kliniki ya meno inaweza kutibu,UNASSIGNED,NEEDS_CLINICAL_REVIEW
R111,back_pain,16,120,false,ROUTINE,OPD_GENERAL|PHYSIOTHERAPY,2,Most back pain settles. See a clinician if it persists or spreads to the legs,Maumivu mengi ya mgongo hupona. Onana na daktari kama yataendelea,UNASSIGNED,NEEDS_CLINICAL_REVIEW
R112,joint_swelling|joint_pain,16,120,false,ROUTINE,OPD_GENERAL|XRAY,3,An examination and possibly an X-ray are needed,Uchunguzi na pengine picha ya X-ray zinahitajika,UNASSIGNED,NEEDS_CLINICAL_REVIEW
R113,injury_limb,0,120,false,URGENT_24H,XRAY|CASUALTY,3,An X-ray is likely needed. Go to a facility with X-ray,Picha ya X-ray inahitajika. Nenda kituo chenye X-ray,UNASSIGNED,NEEDS_CLINICAL_REVIEW
R114,pregnancy_routine,12,55,false,ROUTINE,ANTENATAL,2,Antenatal care is available at your nearest health centre,Huduma ya wajawazito inapatikana kituo cha afya kilicho karibu,UNASSIGNED,NEEDS_CLINICAL_REVIEW
R115,pregnancy_labour,12,55,false,EMERGENCY,MATERNITY_NORMAL,3,Go to a facility that conducts deliveries now,Nenda kituo kinachofanya uzazi sasa,UNASSIGNED,NEEDS_CLINICAL_REVIEW
R116,child_immunisation_due,0,15,false,ROUTINE,IMMUNISATION,2,Immunisation is available at your nearest dispensary,Chanjo inapatikana zahanati iliyo karibu,UNASSIGNED,NEEDS_CLINICAL_REVIEW
R117,high_blood_pressure_known|headache,16,120,false,URGENT_24H,OPD_GENERAL|ECG,3,Your blood pressure should be checked today,Shinikizo lako la damu linapaswa kupimwa leo,UNASSIGNED,NEEDS_CLINICAL_REVIEW
R118,diabetes_known|foot_wound,16,120,false,URGENT_24H,OPD_GENERAL|SURGERY_MINOR|LAB_BASIC,3,A wound on a diabetic foot needs prompt attention,Jeraha la mguu kwa mgonjwa wa kisukari linahitaji uangalizi wa haraka,UNASSIGNED,NEEDS_CLINICAL_REVIEW
R119,mental_health_concern,12,120,false,SOON_7D,MENTAL_HEALTH,3,Support is available. Your nearest facility with mental health services can help,Msaada unapatikana. Kituo chenye huduma za afya ya akili kinaweza kusaidia,UNASSIGNED,NEEDS_CLINICAL_REVIEW
R120,gbv_disclosure,0,120,false,EMERGENCY,GBV_CARE|EMERGENCY_24H,3,Support is available and confidential. Go to a facility with survivor services,Msaada unapatikana kwa siri. Nenda kituo chenye huduma za manusura,UNASSIGNED,NEEDS_CLINICAL_REVIEW
RF011,vomiting_blood,0,120,true,EMERGENCY,EMERGENCY_24H|BLOOD_BANK|ENDOSCOPY,4,Vomiting blood is an emergency. Go to the nearest hospital now,Kutapika damu ni dharura. Nenda hospitali iliyo karibu sasa,UNASSIGNED,NEEDS_CLINICAL_REVIEW
RF012,unable_to_urinate,0,120,true,EMERGENCY,EMERGENCY_24H|CASUALTY,3,Being unable to pass urine needs urgent attention. Go to a facility now,Kushindwa kukojoa kunahitaji msaada wa haraka. Nenda kituo sasa,UNASSIGNED,NEEDS_CLINICAL_REVIEW
RF013,vision_loss,0,120,true,EMERGENCY,EYE_CARE|EMERGENCY_24H,4,Sudden loss of vision is an emergency. Go to a facility with eye services now,Kupoteza kuona ghafla ni dharura. Nenda kituo chenye huduma za macho sasa,UNASSIGNED,NEEDS_CLINICAL_REVIEW
RF014,pregnancy_no_movement,10,60,true,EMERGENCY,MATERNITY_CEMONC|ULTRASOUND,4,Reduced baby movement needs urgent checking. Go to a maternity facility now,Mtoto kutosogea kunahitaji uchunguzi wa haraka. Nenda kituo cha uzazi sasa,UNASSIGNED,NEEDS_CLINICAL_REVIEW
RF015,pregnancy_severe_headache,10,60,true,EMERGENCY,MATERNITY_CEMONC|EMERGENCY_24H,4,This may be pre-eclampsia. Go to a maternity facility now,Hii inaweza kuwa pre-eclampsia. Nenda kituo cha uzazi sasa,UNASSIGNED,NEEDS_CLINICAL_REVIEW
RF016,child_not_feeding,0,5,true,EMERGENCY,PAEDIATRIC|EMERGENCY_24H,4,A child who has stopped feeding needs emergency care now,Mtoto aliyeacha kunyonya anahitaji huduma ya dharura sasa,UNASSIGNED,NEEDS_CLINICAL_REVIEW
RF017,child_very_sleepy,0,5,true,EMERGENCY,PAEDIATRIC|EMERGENCY_24H,4,A child who is hard to wake needs emergency care now,Mtoto ambaye ni vigumu kumwamsha anahitaji huduma ya dharura sasa,UNASSIGNED,NEEDS_CLINICAL_REVIEW
RF018,self_harm_thoughts,10,120,true,EMERGENCY,MENTAL_HEALTH|EMERGENCY_24H,3,Support is available now. Please go to a facility or tell someone you trust today,Msaada unapatikana sasa. Tafadhali nenda kituo au mwambie mtu unayemwamini leo,UNASSIGNED,NEEDS_CLINICAL_REVIEW
RF019,gbv_disclosure,0,120,true,EMERGENCY,GBV_CARE|EMERGENCY_24H,3,Support is available and confidential. Go to a facility with survivor services,Msaada unapatikana kwa siri. Nenda kituo chenye huduma za manusura,UNASSIGNED,NEEDS_CLINICAL_REVIEW
R121,fever,0.17,5,false,URGENT_24H,MALARIA_RDT|PAEDIATRIC|LAB_BASIC,2,A child with fever should be tested for malaria today,Mtoto mwenye homa apimwe malaria leo,UNASSIGNED,NEEDS_CLINICAL_REVIEW
R122,fever,5,120,false,URGENT_24H,MALARIA_RDT|LAB_BASIC,2,A fever should be tested for malaria. A dispensary can do this,Homa ipimwe malaria. Zahanati inaweza kufanya,UNASSIGNED,NEEDS_CLINICAL_REVIEW
