nhp_tx_code,title,plain_en,plain_sw,category,min_keph_level,synonyms,requires_consent,review_status
NHP-TX-0080,Health education,You were given advice about your health,Ulipewa ushauri kuhusu afya yako,COUNSELLING,1,health talk|education|elimu ya afya,false,NEEDS_CLINICAL_REVIEW
NHP-TX-0081,Adherence counselling,You were helped to keep taking your medicine correctly,Ulisaidiwa kutumia dawa vizuri,COUNSELLING,2,adherence support|treatment adherence,false,NEEDS_CLINICAL_REVIEW
NHP-TX-0082,Nutritional counselling,You were advised about what to eat,Ulishauriwa kuhusu chakula,COUNSELLING,2,diet advice|nutrition counselling|ushauri wa lishe,false,NEEDS_CLINICAL_REVIEW
NHP-TX-0083,Family planning counselling,You were advised about family planning,Ulishauriwa kuhusu upangaji uzazi,COUNSELLING,2,FP counselling|contraception counselling|uzazi wa mpango,false,NEEDS_CLINICAL_REVIEW
NHP-TX-0084,Psychological first aid,You were supported after a distressing event,Ulisaidiwa baada ya tukio gumu,COUNSELLING,2,PFA|psychosocial support,false,NEEDS_CLINICAL_REVIEW
NHP-TX-0085,Physical restraint,You were held safely to prevent harm,Ulishikiliwa kwa usalama kuzuia madhara,BEHAVIOURAL,4,restraint|physical restraint,true,NEEDS_CLINICAL_REVIEW
NHP-TX-0090,Observation,You were watched closely for a period,Ulifuatiliwa kwa muda,MONITORING,2,observation|monitoring|kuangaliwa,false,NEEDS_CLINICAL_REVIEW
NHP-TX-0091,Vital signs monitoring,"Your pulse, blood pressure and temperature were checked","Mapigo, shinikizo na joto vilipimwa",MONITORING,1,vitals|obs|vital signs|kupima vitals,false,NEEDS_CLINICAL_REVIEW
NHP-TX-0092,Blood glucose monitoring,Your blood sugar was measured,Sukari ya damu ilipimwa,MONITORING,1,RBS|blood sugar|glucose check|kupima sukari,false,NEEDS_CLINICAL_REVIEW
NHP-TX-0100,Eye irrigation,Your eye was washed out,Jicho lako lilioshwa,ENT_EYE,2,eye wash|ocular irrigation,false,NEEDS_CLINICAL_REVIEW
NHP-TX-0101,Removal of foreign body from eye,Something was taken out of your eye,Kitu kilitolewa jichoni,ENT_EYE,4,eye FB removal,true,NEEDS_CLINICAL_REVIEW
NHP-TX-0102,Ear syringing,Your ear was washed out,Sikio lako lilioshwa,ENT_EYE,3,ear wash|ear syringe|aural toilet,false,NEEDS_CLINICAL_REVIEW
NHP-TX-0103,Removal of foreign body from ear or nose,Something was taken out of your ear or nose,Kitu kilitolewa sikioni au puani,ENT_EYE,3,ENT FB removal,true,NEEDS_CLINICAL_REVIEW
NHP-TX-0104,Nasal packing for nosebleed,Your nose was packed to stop bleeding,Pua ilizibwa kusimamisha damu,ENT_EYE,3,epistaxis packing|nasal pack,true,NEEDS_CLINICAL_REVIEW
NHP-TX-0110,Dental extraction,A tooth was removed,Jino liling'olewa,DENTAL,3,tooth extraction|dental extraction|kung'oa jino,true,NEEDS_CLINICAL_REVIEW
NHP-TX-0111,Dental filling,A tooth was filled,Jino lilizibwa,DENTAL,4,filling|restoration,true,NEEDS_CLINICAL_REVIEW
NHP-TX-0112,Scaling and polishing,Your teeth were cleaned,Meno yako yalisafishwa,DENTAL,4,dental cleaning|scaling,false,NEEDS_CLINICAL_REVIEW
NHP-TX-0120,Cardiopulmonary resuscitation,Your heart and breathing were restarted,Moyo na pumzi vilirudishwa,EMERGENCY,2,CPR|resuscitation|resus,false,NEEDS_CLINICAL_REVIEW
NHP-TX-0121,Defibrillation,An electric shock was given to your heart,Mshtuko wa umeme ulitolewa moyoni,EMERGENCY,4,defib|cardioversion|shock,false,NEEDS_CLINICAL_REVIEW
NHP-TX-0122,Recovery position,You were placed on your side to keep your airway clear,Uliwekwa upande kuweka njia ya hewa wazi,EMERGENCY,1,recovery position,false,NEEDS_CLINICAL_REVIEW
NHP-TX-0123,Control of bleeding by direct pressure,Pressure was applied to stop the bleeding,Shinikizo lilitumika kusimamisha damu,EMERGENCY,1,haemostasis|direct pressure|kusimamisha damu,false,NEEDS_CLINICAL_REVIEW
NHP-TX-0124,Cervical spine immobilisation,Your neck was held still to protect it,Shingo ilishikiliwa kuilinda,EMERGENCY,3,C-spine|collar|cervical collar,false,NEEDS_CLINICAL_REVIEW
NHP-TX-0125,Gastric lavage,Your stomach was washed out,Tumbo lilioshwa,EMERGENCY,4,stomach washout|gastric lavage,true,NEEDS_CLINICAL_REVIEW
NHP-TX-0126,Activated charcoal administration,You were given charcoal to absorb poison,Ulipewa mkaa kunyonya sumu,EMERGENCY,3,charcoal|activated charcoal,false,NEEDS_CLINICAL_REVIEW
NHP-TX-0130,Phototherapy,Your baby was placed under a special light,Mtoto aliwekwa chini ya taa maalum,NEONATAL,3,phototherapy|blue light|jaundice light,false,NEEDS_CLINICAL_REVIEW
NHP-TX-0131,Kangaroo mother care,Your baby was held skin to skin to stay warm,Mtoto alishikiliwa ngozi kwa ngozi apate joto,NEONATAL,2,KMC|kangaroo care,false,NEEDS_CLINICAL_REVIEW
NHP-TX-0132,Umbilical cord care,Your baby's cord was cleaned,Kitovu cha mtoto kilisafishwa,NEONATAL,1,cord care|chlorhexidine cord,false,NEEDS_CLINICAL_REVIEW
NHP-TX-0140,Dialysis,Your blood was filtered by a machine,Damu yako ilichujwa na mashine,SPECIALIST,5,haemodialysis|dialysis|kuchuja damu,true,NEEDS_CLINICAL_REVIEW
NHP-TX-0141,Chemotherapy administration,You were given medicine to treat cancer,Ulipewa dawa ya kutibu saratani,SPECIALIST,5,chemo|chemotherapy,true,NEEDS_CLINICAL_REVIEW
NHP-TX-0142,Radiotherapy,You were treated with radiation,Ulitibiwa kwa mionzi,SPECIALIST,5,radiation therapy|radiotherapy,true,NEEDS_CLINICAL_REVIEW
NHP-TX-0143,Surgical operation under general anaesthetic,You had an operation while asleep,Ulifanyiwa upasuaji ukiwa umelala,SPECIALIST,4,surgery|operation|GA surgery|upasuaji,true,NEEDS_CLINICAL_REVIEW
